name,description,category,sub_category,price,previous_price,image_url
Llama Chinese Shorts,"Shorts featuring two Llama in traditional Chinese attire, surrounded by paper lanterns and bamboo.",clothing,shorts,30,40,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716218/llama_chinese_shorts_augfj3.png
Llama Moon Shorts,"Shorts featuring a Llama sleeping on a crescent moon, surrounded by clouds and stars.",clothing,shorts,25,30,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716217/llama_moon_shorts_jegfxy.png
Llama Moon Sweatshirt,"Sweatshirt featuring a Llama sleeping on a crescent moon, surrounded by clouds and stars.",clothing,sweatshirts,45,50,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716207/llama_moon_sweatshirt_amegsn.png
Llama Soothing Reader Sweatshirt,"Sweatshirt featuring an adorable Llama reading a book under a blanket fort, with fairy lights around.",clothing,sweatshirts,50,60,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716207/llama_reading_soothing_sweatshirt_zfa2xd.png
Llama Winter Sweatshirt,"Sweatshirt featuring a Llama wrapped in a cozy scarf, holding a cup of hot cocoa in a winter landscape.",clothing,sweatshirts,55,65,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716206/llama_scarf_blue_sweatshirt_vucslb.png
Llama Japanese Kimono T-shirt,"T-shirt featuring an adorable Llama dressed in a traditional Japanese kimono, holding a fan and standing under a cherry blossom tree.",clothing,t-shirts,25,30,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716198/llama_japanese_kimono_lavender_eqhfo0.png
Llama Skateboard T-shirt,"T-shirt featuring a fun Llama riding a skateboard with a backwards cap, surrounded by graffiti-style doodles.",clothing,t-shirts,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716197/llama_skateboard_tshirt_gzlrie.png
Llama Hot Air Balloon T-shirt,"T-shirt featuring a adorable Llama wearing a Hawaiian lei and flying in a hot balloon, with a smile.",clothing,t-shirts,20,25,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716197/llama_hawaiin_lei_balloon_tshirt_yp6ik2.png
Llama African Tumbler,"Tumbler featuring a group of Llamas in traditional African attire, standing against a savanna backdrop with an acacia tree.",drinkware,tumblers,30,35,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716165/llama_african_tumbler_sif9ig.png
Llama Ushanka Tumbler,"Tumbler with a festive Llama wearing a ushanka hat, surrounded by snow flakes.",drinkware,tumblers,35,40,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716164/llama_winter_ushanka_hat_fd6xv4.png
Llama Japanese Kimono Bottle,"Stainless steel water bottle featuring a playful Llama dressed in a Japanese kimono, surrounded by cherry blossoms.",drinkware,bottles,40,45,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716156/llama_japanese_kimono_bottle_yj1se5.png
Llama Taj Mahal Bottle,"Stainless steel bottle with a Llama adorned in vibrant Indian jewelry, standing in front of the Taj Mahal.",drinkware,bottles,45,50,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716155/llama_taj_mahal_bottle_mxp7te.png
Llama Arizona Mug,"Mug with an adorable Llama surrounded by cacti and desert flowers.",drinkware,mugs,35,40,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716144/texas_llama_mug_qhmaf8.png
Llama Explorer Mug,"Mug with an adventurous Llama surrounded by mountains and river.",drinkware,mugs,40,55,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716144/llama_pastel_green_mug_dmc3mq.png
Llama Mauve Patterned Mug,"Mug with an adorable Llama among a unique inspirational pattern with a Mauve backdrop.",drinkware,mugs,30,35,https://res.cloudinary.com/dbbfm4bbc/image/upload/v1724716145/llama_white_mauve_mug_ub2jcb.png
